car_name,division,price
BMW 218i جران كوبيه موديل 2021 في مصر,1 طراز,"السعر
750,000 جنيه"
بي ام دبليو 218 i 2021 الجيل الجديد,1 طراز,"السعر
800,000 جنيه"
بي ام دبليو 118 2022,2 طراز,"من
900,000 جنيه"
بي ام دبليو X1 2022,1 طراز,"السعر
900,000 جنيه"
بي ام دبليو 218 i 2022,1 طراز,"السعر
995,000 جنيه"
بي ام دبليو 118 2023,2 طراز,"من
1,050,000 جنيه"
بي ام دبليو 320 2022,4 طراز,"من
1,085,000 جنيه"
بي ام دبليو 218 i 2023,2 طراز,"من
1,195,000 جنيه"
بي ام دبليو X1 2023,1 طراز,"السعر
1,225,000 جنيه"
بي ام دبليو X2 2023,5 طراز,"من
1,280,000 جنيه"
بي ام دبليو 320 2023,1 طراز,"السعر
1,400,000 جنيه"
بي ام دبليو 520 2022,3 طراز,"من
1,550,000 جنيه"
بي ام دبليو 520 2023,1 طراز,"السعر
1,575,000 جنيه"
بي ام دبليو اى اكس 1 2023,2 طراز,"من
1,650,000 جنيه"
بي ام دبليو X3 2022,3 طراز,"من
1,685,000 جنيه"
بي ام دبليو 420 2023,1 طراز,"السعر
1,850,000 جنيه"
بي ام دبليو X4 2022,1 طراز,"السعر
2,050,000 جنيه"
بي ام دبليو X3 2023,1 طراز,"السعر
2,200,000 جنيه"
بي ام دبليو X4 2023,1 طراز,"السعر
2,350,000 جنيه"
بي ام دبليو 730 2022,2 طراز,"من
2,350,000 جنيه"
بي ام دبليو X5 2022,2 طراز,"من
2,650,000 جنيه"
بي ام دبليو اى اكس 2023,2 طراز,"من
2,800,000 جنيه"
بي ام دبليو X5 2023,1 طراز,"السعر
3,000,000 جنيه"
بي ام دبليو X6 2022,1 طراز,"السعر
3,500,000 جنيه"
بي ام دبليو X7 2022,1 طراز,"السعر
3,700,000 جنيه"
بي ام دبليو X6 M 2023,1 طراز,"السعر
4,200,000 جنيه"
بي ام دبليو X7 2023,2 طراز,"من
4,800,000 جنيه"
بي ام دبليو 7 Series 2023,2 طراز,"من
5,000,000 جنيه"
